date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:16	327/327	---M-Z	200	added ('OK')	text/plain	date:Wed,%2023%20Mar%202022%2004:29:43%20GMT	https://wandertears.com/robots.txt		(from )
16:28:17	343359/343359	---M-Z	200	added ('OK')	text/html	etag:W/%22db3569fd84317cdf26b30a58f4c7c376--gzip%22	https://wandertears.com/	/Users/jared/websites/trailerwebsite3/wandertears.com/index.html	(from )
16:28:17	0/0	---M--	302	error ('Found')	text/html	etag:W/%22b25e5780f8015976dc1176a28ee7e39b%22	https://wandertears.com/new-folder	/Users/jared/websites/trailerwebsite3/wandertears.com/new-folder.0.delayed	(from https://wandertears.com/)
16:28:19	346573/346573	---M-Z	200	added ('OK')	text/html	etag:W/%228ea3319d511eb5c25fd7ada7a655be36%22	https://wandertears.com/teardrop-models	/Users/jared/websites/trailerwebsite3/wandertears.com/teardrop-models.html	(from https://wandertears.com/)
16:28:20	131765/131765	---M-Z	200	added ('OK')	text/html	etag:W/%2247c3a031d21749af30eddda6be1c1e6c%22	https://wandertears.com/vaga	/Users/jared/websites/trailerwebsite3/wandertears.com/vaga.html	(from https://wandertears.com/)
16:28:21	132815/132815	---M-Z	200	added ('OK')	text/html	etag:W/%22b432f64ec3a902b1f977494a9d97eb4b%22	https://wandertears.com/renegade	/Users/jared/websites/trailerwebsite3/wandertears.com/renegade.html	(from https://wandertears.com/)
16:28:22	250236/250236	---M-Z	200	added ('OK')	text/html	etag:W/%22f57b275aa63fa59f85f9159abeeea766--gzip%22	https://wandertears.com/rent	/Users/jared/websites/trailerwebsite3/wandertears.com/rent.html	(from https://wandertears.com/)
16:28:22	0/0	---M--	302	error ('Found')	text/html	etag:W/%22c1d2a2c2596b0d0b5e106db6fde94753%22	https://wandertears.com/diy	/Users/jared/websites/trailerwebsite3/wandertears.com/diy.5.delayed	(from https://wandertears.com/)
16:28:24	275456/275456	---M-Z	200	added ('OK')	text/html	etag:W/%22d190d08ca1e77f8c516cc70cc4cbf6f7%22	https://wandertears.com/diy-plans	/Users/jared/websites/trailerwebsite3/wandertears.com/diy-plans.html	(from https://wandertears.com/)
16:28:25	240805/240805	---M-Z	200	added ('OK')	text/html	etag:W/%222335c0cbae61e56ff3168c03a5918155--gzip%22	https://wandertears.com/trailer-frames	/Users/jared/websites/trailerwebsite3/wandertears.com/trailer-frames.html	(from https://wandertears.com/)
16:28:26	93229/93229	---M-Z	200	added ('OK')	text/html	etag:W/%222827cc708b23e40a891ff04a97546a93--gzip%22	https://wandertears.com/free-3d-model	/Users/jared/websites/trailerwebsite3/wandertears.com/free-3d-model.html	(from https://wandertears.com/)
16:28:26	0/0	---M--	302	error ('Found')	text/html	etag:W/%22bfd7caf63cd1da30763befe8249f1603%22	https://wandertears.com/more	/Users/jared/websites/trailerwebsite3/wandertears.com/more.9.delayed	(from https://wandertears.com/)
16:28:27	99836/99836	---M-Z	200	added ('OK')	text/html	etag:W/%227a5cc3988a90a961ef941b40849691fc%22	https://wandertears.com/merch	/Users/jared/websites/trailerwebsite3/wandertears.com/merch.html	(from https://wandertears.com/)
16:28:29	232829/232829	---MCZ	200	added ('OK')	text/html	etag:W/%2238db8d940ec061a9bc7c7e950260dce7--gzip%22	https://wandertears.com/our-camper	/Users/jared/websites/trailerwebsite3/wandertears.com/our-camper.html	(from https://wandertears.com/)
